data	ano
0.004174168	7X7'
0.004158619	7X7'
0.004194711	7X7'
0.004492088	7X7'
0.004339617	7X7'
0.004279236	7X7'
0.004191634	7X7'
0.004401634	7X7'
0.004095634	7X7'
0.004379393	7X7'
0.00407599	7X7'
0.004410171	7X7'
0.004467019	7X7'
0.004523792	7X7'
0.004043654	7X7'
0.004763471	7X7'
0.004079217	7X7'
0.004172778	7X7'
0.004386036	7X7'
0.004381045	7X7'
0.004224358	7X7'
0.004447175	7X7'
0.004296307	7X7'
0.004334064	7X7'
0.004317657	7X7'
0.004247799	7X7'
0.004498744	7X7'
0.00430631	7X7'
0.004285781	7X7'
0.004487648	7X7'
0.004803504	7X7'
0.004298034	7X7'
0.004412127	7X7'
0.003956177	7X7'
0.004461392	7X7'
0.004090442	7X7'
0.004188455	7X7'
0.004518332	7X7'
0.003914495	7X7'
0.00439486	7X7'
0.00417436	7X7'
0.004368822	7X7'
0.004159561	7X7'
0.004329796	7X7'
0.004397939	7X7'
0.004341079	7X7'
0.00433319	7X7'
0.004418685	7X7'
0.004349028	7X7'
0.004427184	7X7'
0.004472965	7X7'
0.004259453	7X7'
0.004394467	7X7'
0.004205557	7X7'
0.004293431	7X7'
0.004007449	7X7'
0.004074623	7X7'
0.004460899	7X7'
0.004292469	7X7'
0.004253663	7X7'
0.004688729	7X7'
0.004292876	7X7'
0.004310061	7X7'
0.004224222	7X7'
0.003999592	7X7'
0.004181506	7X7'
0.004429679	7X7'
0.004414904	7X7'
0.004184469	7X7'
0.004447172	7X7'
0.004309433	7X7'
0.00446722	7X7'
0.004154303	7X7'
0.004332255	7X7'
0.004135767	7X7'
0.004278296	7X7'
0.004297061	7X7'
0.004423116	7X7'
0.004395566	7X7'
0.004368012	7X7'
0.004549255	7X7'
0.004230116	7X7'
0.004148054	7X7'
0.004368522	7X7'
0.004342982	7X7'
0.004482896	7X7'
0.004293007	7X7'
0.004440363	7X7'
0.004302472	7X7'
0.004214194	7X7'
0.004092149	7X7'
0.004566285	7X7'
0.004210155	7X7'
0.004093896	7X7'
0.004192039	7X7'
0.00417304	7X7'
0.004064295	7X7'
0.004446282	7X7'
0.004141321	7X7'
0.004234229	7X7'
0.002838738	5X5'
0.002726549	5X5'
0.002864764	5X5'
0.002939499	5X5'
0.002853445	5X5'
0.002897623	5X5'
0.002838345	5X5'
0.002879426	5X5'
0.002814669	5X5'
0.00289802	5X5'
0.002593358	5X5'
0.002894033	5X5'
0.003018828	5X5'
0.002945597	5X5'
0.002698555	5X5'
0.003165274	5X5'
0.00267351	5X5'
0.002744752	5X5'
0.002758062	5X5'
0.00312855	5X5'
0.002668583	5X5'
0.002935755	5X5'
0.002743803	5X5'
0.002967645	5X5'
0.002844845	5X5'
0.002935222	5X5'
0.00299958	5X5'
0.002952113	5X5'
0.00273028	5X5'
0.00283521	5X5'
0.002983545	5X5'
0.002782961	5X5'
0.002929568	5X5'
0.002716749	5X5'
0.00289202	5X5'
0.002788717	5X5'
0.002775212	5X5'
0.002955399	5X5'
0.002596223	5X5'
0.00285085	5X5'
0.002834975	5X5'
0.002960186	5X5'
0.002769036	5X5'
0.002808582	5X5'
0.002939378	5X5'
0.002772121	5X5'
0.002818919	5X5'
0.002929629	5X5'
0.003086745	5X5'
0.002944657	5X5'
0.0030955	5X5'
0.002878758	5X5'
0.002892838	5X5'
0.002750601	5X5'
0.002900468	5X5'
0.002692684	5X5'
0.002721211	5X5'
0.002856273	5X5'
0.002879932	5X5'
0.002678975	5X5'
0.003203573	5X5'
0.002848385	5X5'
0.002898344	5X5'
0.002699905	5X5'
0.002708521	5X5'
0.002670005	5X5'
0.002880507	5X5'
0.002942079	5X5'
0.002765399	5X5'
0.00287011	5X5'
0.002852114	5X5'
0.002977808	5X5'
0.002716722	5X5'
0.00287353	5X5'
0.00259285	5X5'
0.00278387	5X5'
0.002785355	5X5'
0.002824491	5X5'
0.002983269	5X5'
0.002868706	5X5'
0.003111037	5X5'
0.002755738	5X5'
0.002668558	5X5'
0.002790926	5X5'
0.00280292	5X5'
0.002802078	5X5'
0.002948556	5X5'
0.002989042	5X5'
0.002754308	5X5'
0.002856584	5X5'
0.002677027	5X5'
0.002863147	5X5'
0.00280674	5X5'
0.002681139	5X5'
0.002843439	5X5'
0.002675701	5X5'
0.002623435	5X5'
0.003056219	5X5'
0.002864502	5X5'
0.002890711	5X5'
0.003856198	4X5'
0.003922832	4X5'
0.003898465	4X5'
0.00389057	4X5'
0.003946374	4X5'
0.003893578	4X5'
0.003774071	4X5'
0.003933667	4X5'
0.003673208	4X5'
0.00397155	4X5'
0.003848546	4X5'
0.003930205	4X5'
0.004032781	4X5'
0.003957067	4X5'
0.003819637	4X5'
0.003970115	4X5'
0.003983982	4X5'
0.003851602	4X5'
0.003829326	4X5'
0.003970057	4X5'
0.003860783	4X5'
0.003928905	4X5'
0.003887381	4X5'
0.003891293	4X5'
0.003854584	4X5'
0.003973769	4X5'
0.004067663	4X5'
0.003916589	4X5'
0.003919665	4X5'
0.003815817	4X5'
0.003971191	4X5'
0.003765448	4X5'
0.004010319	4X5'
0.004110413	4X5'
0.004100281	4X5'
0.003870005	4X5'
0.004032531	4X5'
0.003914773	4X5'
0.003763081	4X5'
0.003876144	4X5'
0.00393772	4X5'
0.003866325	4X5'
0.004006619	4X5'
0.003849086	4X5'
0.003976153	4X5'
0.003814084	4X5'
0.003790885	4X5'
0.004078057	4X5'
0.003900923	4X5'
0.004080748	4X5'
0.004215339	4X5'
0.003988317	4X5'
0.003932508	4X5'
0.003820051	4X5'
0.003783768	4X5'
0.003676494	4X5'
0.003790125	4X5'
0.004039707	4X5'
0.004099966	4X5'
0.003749864	4X5'
0.004191243	4X5'
0.003849318	4X5'
0.004038159	4X5'
0.003713551	4X5'
0.003807853	4X5'
0.003669037	4X5'
0.004046765	4X5'
0.004031617	4X5'
0.003895633	4X5'
0.004051207	4X5'
0.004028908	4X5'
0.003865682	4X5'
0.003529022	4X5'
0.003766355	4X5'
0.003857349	4X5'
0.003886668	4X5'
0.003991239	4X5'
0.004009307	4X5'
0.004034612	4X5'
0.003956241	4X5'
0.003903915	4X5'
0.003865439	4X5'
0.003934339	4X5'
0.003926462	4X5'
0.003898275	4X5'
0.003888649	4X5'
0.003901746	4X5'
0.003964184	4X5'
0.003893194	4X5'
0.003899875	4X5'
0.003714927	4X5'
0.0037305	4X5'
0.003812625	4X5'
0.003637383	4X5'
0.003998477	4X5'
0.003816867	4X5'
0.003796771	4X5'
0.004112212	4X5'
